,title,salary,link,site
121,Программист-разработчик (Python),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48391609?from=vacancy_search_list&query=Python,https://hh.ru
122,Middle Python Django developer,"{'min_salary': 110000, 'max_salary': 180000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47854117?from=vacancy_search_list&query=Python,https://hh.ru
123,Python Backend разработчик,"{'min_salary': 100000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48296942?from=vacancy_search_list&query=Python,https://hh.ru
124,Python developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48253082?from=vacancy_search_list&query=Python,https://hh.ru
125,Backend-разработчик (python),"{'min_salary': 160000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48160576?from=vacancy_search_list&query=Python,https://hh.ru
126,Python-разработчик,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48307115?from=vacancy_search_list&query=Python,https://hh.ru
127,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48089560?from=vacancy_search_list&query=Python,https://hh.ru
128,Python-разработчик (Middle) удаленно,"{'min_salary': 'not salary', 'max_salary': 220000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47449635?from=vacancy_search_list&query=Python,https://hh.ru
129,Python-разработчик,"{'min_salary': 70000, 'max_salary': 140000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/44626254?from=vacancy_search_list&query=Python,https://hh.ru
130,Python developer (Middle),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/47637730?from=vacancy_search_list&query=Python,https://hh.ru
131,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/46102356?from=vacancy_search_list&query=Python,https://hh.ru
132,Senior Python Developer (cybersecurity),"{'min_salary': 200000, 'max_salary': 300000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47375142?from=vacancy_search_list&query=Python,https://hh.ru
133,Full Stack Developer (Python),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/46671993?from=vacancy_search_list&query=Python,https://hh.ru
134,Python developer,"{'min_salary': 120000, 'max_salary': 250000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/44767329?from=vacancy_search_list&query=Python,https://hh.ru
135,Разработчик Python,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/46777697?from=vacancy_search_list&query=Python,https://hh.ru
136,Senior Machine Learning Engineer (remote),"{'min_salary': 400000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48124082?from=vacancy_search_list&query=Python,https://hh.ru
137,Разработчик Python,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/47731039?from=vacancy_search_list&query=Python,https://hh.ru
138,Web разработчик (Python/JS),"{'min_salary': 100000, 'max_salary': 200000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48450128?from=vacancy_search_list&query=Python,https://hh.ru
139,Программист Python / Web-разработчик,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48048437?from=vacancy_search_list&query=Python,https://hh.ru
140,Back-End Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48320704?from=vacancy_search_list&query=Python,https://hh.ru
141,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48373979?from=vacancy_search_list&query=Python,https://hh.ru
142,Python-разработчик (middle),"{'min_salary': 50000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48420278?from=vacancy_search_list&query=Python,https://hh.ru
143,Python разработчик,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48440861?from=vacancy_search_list&query=Python,https://hh.ru
144,Разработчик Python,"{'min_salary': 90000, 'max_salary': 180000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/42905077?from=vacancy_search_list&query=Python,https://hh.ru
145,Программист Python,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/47434570?from=vacancy_search_list&query=Python,https://hh.ru
146,Разработчик Python,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48393547?from=vacancy_search_list&query=Python,https://hh.ru
